x,y,w,h,aspect_ratio,ground_truth,predicted
96,30,62,62,1.0,right,center
91,28,68,68,1.0,right,center
109,54,42,42,1.0,right,center
113,58,43,43,1.0,right,center
106,55,41,41,1.0,right,center
33,61,44,44,1.0,left,center
112,53,46,46,1.0,right,center
39,61,45,45,1.0,left,center
110,47,47,47,1.0,right,center
36,56,46,46,1.0,left,center
107,49,49,49,1.0,right,center
33,56,50,50,1.0,left,center
34,56,49,49,1.0,left,center
107,47,51,51,1.0,right,center
107,50,46,46,1.0,right,center
34,55,49,49,1.0,left,center
41,64,45,45,1.0,left,center
114,56,45,45,1.0,right,center
106,48,47,47,1.0,right,center
35,56,47,47,1.0,left,center
37,57,46,46,1.0,left,center
110,51,46,46,1.0,right,center
108,49,47,47,1.0,right,center
37,56,45,45,1.0,left,center
40,59,44,44,1.0,left,center
113,52,47,47,1.0,right,center
107,47,46,46,1.0,right,center
33,50,51,51,1.0,left,center
110,50,46,46,1.0,right,center
36,55,48,48,1.0,left,center
29,47,48,48,1.0,left,center
102,43,46,46,1.0,right,center
108,47,47,47,1.0,right,center
35,53,48,48,1.0,left,center
102,45,46,46,1.0,right,center
28,49,47,47,1.0,left,center
105,49,45,45,1.0,right,center
32,52,48,48,1.0,left,center
104,47,45,45,1.0,right,center
32,51,46,46,1.0,left,center
101,44,50,50,1.0,right,center
26,29,71,71,1.0,left,center
50,70,28,28,1.0,left,center
116,59,38,38,1.0,right,right
110,52,43,43,1.0,right,center
29,48,55,55,1.0,left,center
116,52,48,48,1.0,right,center
40,56,49,49,1.0,left,center
111,51,48,48,1.0,right,center
33,53,54,54,1.0,left,center
110,51,49,49,1.0,right,right
33,55,51,51,1.0,left,center
109,49,49,49,1.0,right,right
33,53,51,51,1.0,left,center
114,54,50,50,1.0,right,center
36,60,52,52,1.0,left,center
117,54,51,51,1.0,right,center
38,61,50,50,1.0,left,center
115,51,50,50,1.0,right,center
35,57,51,51,1.0,left,center
116,52,51,51,1.0,right,center
36,58,52,52,1.0,left,center
112,47,67,67,1.0,right,center
134,70,39,39,1.0,right,center
48,74,41,41,1.0,left,center
127,59,51,51,1.0,right,center
42,70,46,46,1.0,left,center
140,70,50,50,1.0,right,center
58,80,42,42,1.0,left,center
131,67,51,51,1.0,right,center
45,70,52,52,1.0,left,center
46,72,44,44,1.0,left,center
130,63,52,52,1.0,right,center
133,65,53,53,1.0,right,center
47,72,48,48,1.0,left,center
44,68,50,50,1.0,left,center
131,63,53,53,1.0,right,center
89,51,78,78,1.0,center,center
47,73,47,47,1.0,left,center
132,66,54,54,1.0,right,center
57,82,39,39,1.0,left,center
139,70,53,53,1.0,right,center
37,50,87,87,1.0,left,center
139,70,54,54,1.0,right,center
54,80,46,46,1.0,left,center
55,81,44,44,1.0,left,center
140,73,50,50,1.0,right,center
140,75,50,50,1.0,right,center
52,82,47,47,1.0,left,center
47,72,46,46,1.0,left,center
133,64,52,52,1.0,right,center
41,72,47,47,1.0,left,center
126,62,54,54,1.0,right,center
93,53,71,71,1.0,center,right
131,59,54,54,1.0,right,center
41,64,55,55,1.0,left,center
128,58,56,56,1.0,right,center
39,66,53,53,1.0,left,center
128,62,53,53,1.0,right,center
39,66,56,56,1.0,left,center
51,73,49,49,1.0,left,center
135,63,55,55,1.0,right,center
134,63,55,55,1.0,right,center
46,69,55,55,1.0,left,center
93,53,78,78,1.0,center,center
45,70,50,50,1.0,left,center
132,60,54,54,1.0,right,center
42,70,50,50,1.0,left,center
128,62,55,55,1.0,right,center
40,67,53,53,1.0,left,center
129,61,54,54,1.0,right,center
41,67,51,51,1.0,left,center
128,59,54,54,1.0,right,center
41,66,51,51,1.0,left,center
127,58,54,54,1.0,right,center
131,62,54,54,1.0,right,center
43,69,55,55,1.0,left,center
44,70,51,51,1.0,left,center
129,59,56,56,1.0,right,center
43,73,46,46,1.0,left,right
129,60,55,55,1.0,right,center
128,57,54,54,1.0,right,center
43,67,51,51,1.0,left,center
127,53,58,58,1.0,right,center
39,62,58,58,1.0,left,center
42,69,49,49,1.0,left,center
125,52,59,59,1.0,right,center
128,55,58,58,1.0,right,center
45,62,60,60,1.0,left,center
133,58,58,58,1.0,right,center
47,71,54,54,1.0,left,center
128,55,59,59,1.0,right,center
46,67,56,56,1.0,left,center
134,58,58,58,1.0,right,center
48,72,53,53,1.0,left,center
132,57,59,59,1.0,right,center
48,72,54,54,1.0,left,center
130,60,58,58,1.0,right,center
48,72,54,54,1.0,left,center
72,74,45,45,1.0,center,left
137,61,56,56,1.0,right,center
52,74,52,52,1.0,left,center
136,61,59,59,1.0,right,center
53,73,56,56,1.0,left,center
138,64,51,51,1.0,right,center
46,70,56,56,1.0,left,center
38,63,55,55,1.0,left,center
120,50,62,62,1.0,right,center
132,57,56,56,1.0,right,center
45,65,57,57,1.0,left,center
82,44,96,96,1.0,center,center
46,66,55,55,1.0,left,center
131,53,63,63,1.0,right,center
131,57,59,59,1.0,right,right
44,64,58,58,1.0,left,center
131,54,60,60,1.0,right,right
43,63,57,57,1.0,left,center
130,54,57,57,1.0,right,right
42,62,56,56,1.0,left,center
128,56,59,59,1.0,right,center
44,64,56,56,1.0,left,center
40,59,56,56,1.0,left,center
127,51,58,58,1.0,right,center
129,56,57,57,1.0,right,center
39,62,58,58,1.0,left,center
132,58,57,57,1.0,right,center
42,65,56,56,1.0,left,center
131,55,59,59,1.0,right,center
41,63,58,58,1.0,left,center
132,58,56,56,1.0,right,right
42,64,56,56,1.0,left,center
82,46,94,94,1.0,center,center
128,53,59,59,1.0,right,right
40,62,57,57,1.0,left,center
45,64,57,57,1.0,left,center
131,54,60,60,1.0,right,right
134,56,58,58,1.0,right,center
46,65,56,56,1.0,left,center
132,57,57,57,1.0,right,center
43,63,57,57,1.0,left,center
131,53,58,58,1.0,right,center
43,60,58,58,1.0,left,center
131,55,59,59,1.0,right,center
44,62,58,58,1.0,left,center
131,52,60,60,1.0,right,center
42,60,58,58,1.0,left,center
131,55,57,57,1.0,right,center
39,62,58,58,1.0,left,center
134,56,57,57,1.0,right,center
42,64,57,57,1.0,left,center
134,55,60,60,1.0,right,right
45,64,57,57,1.0,left,center
132,54,57,57,1.0,right,center
42,61,57,57,1.0,left,center
84,43,87,87,1.0,center,center
131,54,59,59,1.0,right,center
39,60,61,61,1.0,left,center
133,57,56,56,1.0,right,center
42,63,57,57,1.0,left,center
133,56,56,56,1.0,right,center
42,63,56,56,1.0,left,center
42,65,56,56,1.0,left,center
130,56,59,59,1.0,right,center
118,39,73,73,1.0,right,center
38,51,73,73,1.0,left,center
122,39,77,77,1.0,right,center
40,48,75,75,1.0,left,center
123,46,65,65,1.0,right,center
41,58,65,65,1.0,left,center
45,63,54,54,1.0,left,center
130,53,60,60,1.0,right,right
136,56,59,59,1.0,right,right
48,63,59,59,1.0,left,center
138,58,57,57,1.0,right,right
50,66,56,56,1.0,left,center
135,56,56,56,1.0,right,right
47,62,57,57,1.0,left,center
6,49,86,86,1.0,left,center
131,55,57,57,1.0,right,center
45,64,54,54,1.0,left,center
132,56,58,58,1.0,right,center
44,66,55,55,1.0,left,center
135,55,59,59,1.0,right,center
47,66,53,53,1.0,left,center
133,56,57,57,1.0,right,center
46,64,53,53,1.0,left,center
134,57,54,54,1.0,right,center
42,62,57,57,1.0,left,center
135,58,57,57,1.0,right,center
45,66,55,55,1.0,left,center
69,70,48,48,1.0,center,center
134,58,55,55,1.0,right,center
40,63,59,59,1.0,left,center
131,53,54,54,1.0,right,right
42,60,55,55,1.0,left,center
132,55,57,57,1.0,right,right
44,63,55,55,1.0,left,center
129,54,57,57,1.0,right,right
43,63,55,55,1.0,left,center
133,57,57,57,1.0,right,center
45,66,52,52,1.0,left,center
131,57,57,57,1.0,right,center
43,64,57,57,1.0,left,center
43,62,57,57,1.0,left,center
131,54,57,57,1.0,right,center
67,68,47,47,1.0,center,center
39,64,56,56,1.0,left,center
129,54,59,59,1.0,right,right
136,57,57,57,1.0,right,center
47,66,54,54,1.0,left,center
133,54,55,55,1.0,right,right
43,63,54,54,1.0,left,center
133,57,57,57,1.0,right,center
46,67,54,54,1.0,left,center
134,56,57,57,1.0,right,center
45,65,55,55,1.0,left,center
128,54,59,59,1.0,right,center
42,63,55,55,1.0,left,center
131,58,55,55,1.0,right,right
43,65,56,56,1.0,left,center
76,40,99,99,1.0,center,center
131,55,59,59,1.0,right,right
46,65,56,56,1.0,left,center
136,58,57,57,1.0,right,center
48,66,57,57,1.0,left,center
137,59,56,56,1.0,right,center
50,69,53,53,1.0,left,center
136,59,55,55,1.0,right,right
45,67,56,56,1.0,left,center
134,58,56,56,1.0,right,right
46,67,54,54,1.0,left,center
133,55,58,58,1.0,right,center
45,65,55,55,1.0,left,center
68,69,48,48,1.0,center,left
135,59,58,58,1.0,right,center
48,67,56,56,1.0,left,center
133,58,58,58,1.0,right,center
46,67,57,57,1.0,left,center
137,62,56,56,1.0,right,center
47,70,57,57,1.0,left,center
134,57,57,57,1.0,right,center
44,65,57,57,1.0,left,center
128,55,56,56,1.0,right,center
41,65,54,54,1.0,left,center
42,65,57,57,1.0,left,center
131,57,57,57,1.0,right,center
44,67,56,56,1.0,left,center
133,59,57,57,1.0,right,center
77,42,98,98,1.0,center,center
48,71,54,54,1.0,left,center
134,60,59,59,1.0,right,right
133,58,56,56,1.0,right,center
42,63,59,59,1.0,left,center
130,58,57,57,1.0,right,center
42,63,60,60,1.0,left,center
34,52,73,73,1.0,left,center
124,52,62,62,1.0,right,center
121,48,75,75,1.0,center,center
42,53,74,74,1.0,left,center
128,51,68,68,1.0,right,center
117,44,74,74,1.0,right,center
41,63,59,59,1.0,left,center
137,61,51,51,1.0,right,center
43,60,65,65,1.0,left,center
131,59,59,59,1.0,right,right
48,67,55,55,1.0,left,center
128,56,54,54,1.0,right,right
39,59,60,60,1.0,left,center
45,64,59,59,1.0,left,center
130,57,58,58,1.0,right,center
127,54,56,56,1.0,right,center
39,61,57,57,1.0,left,center
124,52,59,59,1.0,right,center
38,62,55,55,1.0,left,center
126,54,58,58,1.0,right,right
37,64,56,56,1.0,left,center
124,52,59,59,1.0,right,right
34,62,55,55,1.0,left,center
90,51,77,77,1.0,center,right
132,60,55,55,1.0,right,right
42,68,54,54,1.0,left,center
86,52,84,84,1.0,center,right
130,57,59,59,1.0,right,right
41,66,57,57,1.0,left,center
134,61,57,57,1.0,right,center
43,70,57,57,1.0,left,center
136,64,57,57,1.0,right,center
49,75,53,53,1.0,left,center
130,59,59,59,1.0,right,center
43,69,55,55,1.0,left,center
130,60,57,57,1.0,right,center
42,69,54,54,1.0,left,center
41,69,54,54,1.0,left,center
130,59,56,56,1.0,right,center
134,62,52,52,1.0,right,center
45,71,52,52,1.0,left,center
43,70,54,54,1.0,left,center
133,62,54,54,1.0,right,center
132,61,57,57,1.0,right,center
45,71,54,54,1.0,left,center
43,69,51,51,1.0,left,center
129,58,56,56,1.0,right,center
136,64,53,53,1.0,right,center
47,70,55,55,1.0,left,center
40,67,55,55,1.0,left,center
131,60,55,55,1.0,right,center
133,59,55,55,1.0,right,center
42,66,57,57,1.0,left,center
88,50,82,82,1.0,center,center
132,61,57,57,1.0,right,center
42,68,58,58,1.0,left,center
134,62,55,55,1.0,right,center
45,70,57,57,1.0,left,center
134,60,60,60,1.0,right,center
48,73,52,52,1.0,left,center
132,61,55,55,1.0,right,center
42,67,58,58,1.0,left,center
98,32,86,86,1.0,center,center
111,40,72,72,1.0,right,center
39,62,55,55,1.0,left,center
127,55,55,55,1.0,right,center
39,60,59,59,1.0,left,center
132,58,55,55,1.0,right,center
42,63,60,60,1.0,left,center
126,53,58,58,1.0,right,right
41,63,56,56,1.0,left,right
125,53,57,57,1.0,right,right
37,60,59,59,1.0,left,center
125,50,56,56,1.0,right,center
37,61,53,53,1.0,left,center
129,59,55,55,1.0,right,center
41,67,54,54,1.0,left,center
132,55,57,57,1.0,right,center
46,67,53,53,1.0,left,center
42,66,50,50,1.0,left,center
125,55,54,54,1.0,right,center
123,52,57,57,1.0,right,center
40,66,49,49,1.0,left,center
37,64,51,51,1.0,left,center
121,52,55,55,1.0,right,center
127,56,52,52,1.0,right,center
97,50,64,64,1.0,center,center
42,66,51,51,1.0,left,center
129,61,41,41,1.0,right,right
44,73,41,41,1.0,left,center
112,41,69,69,1.0,right,center
111,48,59,59,1.0,right,center
118,54,48,48,1.0,right,center
116,54,50,50,1.0,right,center
41,66,42,42,1.0,left,center
42,67,40,40,1.0,left,center
117,56,48,48,1.0,right,center
118,55,46,46,1.0,right,center
42,66,40,40,1.0,left,center
63,72,28,28,1.0,center,center
111,53,48,48,1.0,right,center
41,64,39,39,1.0,left,center
105,48,47,47,1.0,right,center
31,56,44,44,1.0,left,center
108,53,44,44,1.0,right,center
32,61,42,42,1.0,left,center
32,57,37,37,1.0,left,right
101,46,43,43,1.0,right,center
30,54,41,41,1.0,left,center
101,47,42,42,1.0,right,center
100,50,41,41,1.0,right,center
36,62,33,33,1.0,left,center
30,57,36,36,1.0,left,center
98,46,40,40,1.0,right,center
33,58,36,36,1.0,left,center
96,48,39,39,1.0,right,center
33,58,36,36,1.0,left,right
98,47,42,42,1.0,right,center
36,57,33,33,1.0,left,right
99,47,39,39,1.0,right,center
32,55,36,36,1.0,left,center
95,46,39,39,1.0,right,center
29,55,38,38,1.0,left,center
95,48,39,39,1.0,right,center
97,50,37,37,1.0,right,center
31,55,38,38,1.0,left,center
97,49,37,37,1.0,right,center
29,54,40,40,1.0,left,center
92,48,35,35,1.0,right,center
26,53,38,38,1.0,left,center
27,52,40,40,1.0,left,center
94,49,35,35,1.0,right,center
96,49,37,37,1.0,right,center
30,54,39,39,1.0,left,center
95,48,36,36,1.0,right,center
29,53,38,38,1.0,left,center
94,47,34,34,1.0,right,center
29,53,35,35,1.0,left,center
29,52,35,35,1.0,left,center
93,45,37,37,1.0,right,center
96,50,36,36,1.0,right,center
29,52,40,40,1.0,left,center
30,52,37,37,1.0,left,center
96,47,38,38,1.0,right,center
28,52,38,38,1.0,left,center
94,48,36,36,1.0,right,center
32,56,34,34,1.0,left,center
94,47,40,40,1.0,right,center
31,54,38,38,1.0,left,center
97,48,38,38,1.0,right,center
100,52,34,34,1.0,right,center
28,51,43,43,1.0,left,center
31,55,36,36,1.0,left,center
95,50,35,35,1.0,right,center
39,61,27,27,1.0,left,center
100,51,37,37,1.0,right,center
105,53,42,42,1.0,right,center
36,64,34,34,1.0,left,center
19,46,57,57,1.0,left,center
44,67,26,26,1.0,left,center
