x,y,w,h,aspect_ratio,ground_truth,predicted
107,55,41,41,1.0,right,center
32,58,39,39,1.0,left,center
104,53,42,42,1.0,right,center
49,75,38,38,1.0,left,center
124,62,48,48,1.0,right,center
50,80,33,33,1.0,left,center
122,62,53,53,1.0,right,center
49,77,39,39,1.0,left,center
127,68,45,45,1.0,right,center
126,64,47,47,1.0,right,center
52,80,32,32,1.0,left,center
128,64,46,46,1.0,right,center
46,71,43,43,1.0,left,center
128,59,53,53,1.0,right,center
49,75,39,39,1.0,left,center
130,64,48,48,1.0,right,center
48,74,41,41,1.0,left,center
130,64,50,50,1.0,right,center
51,79,38,38,1.0,left,center
131,64,49,49,1.0,right,center
48,74,42,42,1.0,left,center
127,60,54,54,1.0,right,center
46,73,44,44,1.0,left,center
137,72,52,52,1.0,right,center
133,66,48,48,1.0,right,center
45,76,44,44,1.0,left,center
129,62,49,49,1.0,right,center
131,65,53,53,1.0,right,center
44,75,48,48,1.0,left,center
50,76,42,42,1.0,left,center
132,64,51,51,1.0,right,center
129,61,50,50,1.0,right,center
49,78,35,35,1.0,left,center
126,58,55,55,1.0,right,center
49,78,36,36,1.0,left,center
126,56,58,58,1.0,right,center
130,62,51,51,1.0,right,center
47,77,40,40,1.0,left,center
132,64,53,53,1.0,right,center
48,78,42,42,1.0,left,center
48,80,40,40,1.0,left,center
130,60,55,55,1.0,right,center
53,84,34,34,1.0,left,center
129,60,58,58,1.0,right,center
131,62,54,54,1.0,right,center
32,49,79,79,1.0,left,center
133,64,52,52,1.0,right,center
47,78,45,45,1.0,left,center
131,61,55,55,1.0,right,center
132,62,56,56,1.0,right,center
57,85,30,30,1.0,left,center
134,64,51,51,1.0,right,center
134,63,53,53,1.0,right,center
124,55,61,61,1.0,right,center
42,72,50,50,1.0,left,center
134,67,51,51,1.0,right,center
45,77,50,50,1.0,left,center
45,59,72,72,1.0,left,center
46,77,43,43,1.0,left,center
128,64,52,52,1.0,right,center
127,61,55,55,1.0,right,center
39,68,56,56,1.0,left,center
42,69,51,51,1.0,left,center
127,58,56,56,1.0,right,center
129,64,48,48,1.0,right,center
45,71,46,46,1.0,left,center
44,72,39,39,1.0,left,center
123,55,54,54,1.0,right,center
26,46,75,75,1.0,left,center
47,76,41,41,1.0,left,center
129,60,54,54,1.0,right,center
128,60,53,53,1.0,right,center
41,68,51,51,1.0,left,center
43,69,47,47,1.0,left,center
126,56,56,56,1.0,right,center
128,62,47,47,1.0,right,center
40,69,48,48,1.0,left,center
129,64,50,50,1.0,right,center
45,75,43,43,1.0,left,right
127,60,51,51,1.0,right,center
42,68,49,49,1.0,left,center
40,70,42,42,1.0,left,right
124,58,51,51,1.0,right,center
40,72,40,40,1.0,left,center
122,56,53,53,1.0,right,center
44,69,47,47,1.0,left,center
127,60,52,52,1.0,right,center
125,58,52,52,1.0,right,center
42,66,50,50,1.0,left,center
126,58,53,53,1.0,right,center
41,66,52,52,1.0,left,center
43,69,48,48,1.0,left,center
127,59,53,53,1.0,right,center
128,60,52,52,1.0,right,center
43,69,48,48,1.0,left,center
42,67,52,52,1.0,left,center
129,60,52,52,1.0,right,center
124,56,56,56,1.0,right,center
38,65,54,54,1.0,left,center
128,59,55,55,1.0,right,center
42,66,52,52,1.0,left,center
44,69,50,50,1.0,left,center
127,60,54,54,1.0,right,center
128,61,53,53,1.0,right,center
43,68,52,52,1.0,left,center
129,59,54,54,1.0,right,center
42,67,54,54,1.0,left,center
43,72,49,49,1.0,left,center
127,62,56,56,1.0,right,center
128,59,56,56,1.0,right,center
42,68,54,54,1.0,left,center
125,58,55,55,1.0,right,center
40,68,52,52,1.0,left,center
130,63,52,52,1.0,right,center
45,72,50,50,1.0,left,center
44,72,45,45,1.0,left,center
127,62,48,48,1.0,right,center
43,70,48,48,1.0,left,center
127,61,52,52,1.0,right,center
50,76,46,46,1.0,left,center
133,65,52,52,1.0,right,center
129,63,48,48,1.0,right,center
45,74,45,45,1.0,left,center
124,59,53,53,1.0,right,center
45,74,45,45,1.0,left,center
124,60,51,51,1.0,right,center
44,74,46,46,1.0,left,center
42,73,46,46,1.0,left,center
31,76,41,41,1.0,left,center
122,61,49,49,1.0,right,center
123,62,48,48,1.0,right,center
45,74,44,44,1.0,left,center
118,56,53,53,1.0,right,center
39,72,48,48,1.0,left,right
127,59,49,49,1.0,right,center
38,59,67,67,1.0,left,center
119,56,54,54,1.0,right,center
46,77,40,40,1.0,left,center
44,71,52,52,1.0,left,center
123,59,51,51,1.0,right,center
120,57,51,51,1.0,center,center
47,76,42,42,1.0,left,center
36,57,68,68,1.0,left,center
117,57,50,50,1.0,center,center
44,78,39,39,1.0,left,center
119,57,47,47,1.0,center,center
44,73,44,44,1.0,left,right
117,56,45,45,1.0,center,center
40,70,46,46,1.0,left,center
124,61,44,44,1.0,center,center
49,79,41,41,1.0,left,center
122,59,46,46,1.0,right,center
44,72,47,47,1.0,left,right
42,71,45,45,1.0,left,center
118,56,47,47,1.0,center,center
125,61,47,47,1.0,right,center
47,74,47,47,1.0,left,center
43,71,42,42,1.0,left,center
116,54,49,49,1.0,right,center
126,61,47,47,1.0,center,center
45,68,54,54,1.0,left,center
32,74,46,46,1.0,left,center
126,61,45,45,1.0,center,right
44,68,52,52,1.0,left,center
121,53,50,50,1.0,right,right
39,58,59,59,1.0,left,center
121,51,51,51,1.0,right,right
36,60,56,56,1.0,left,right
122,52,51,51,1.0,right,right
37,59,59,59,1.0,left,center
125,56,52,52,1.0,right,center
39,63,55,55,1.0,left,center
128,56,52,52,1.0,right,right
42,65,55,55,1.0,left,center
129,58,53,53,1.0,right,right
43,68,54,54,1.0,left,center
126,55,51,51,1.0,right,right
35,61,59,59,1.0,left,center
130,58,53,53,1.0,right,center
39,64,58,58,1.0,left,center
135,62,50,50,1.0,right,right
43,65,60,60,1.0,left,center
145,72,52,52,1.0,right,right
51,77,58,58,1.0,left,center
96,62,89,89,1.0,center,center
142,61,57,57,1.0,right,right
47,69,60,60,1.0,left,center
150,75,57,57,1.0,center,left
168,72,62,62,1.0,right,center
51,80,63,63,1.0,left,center
149,75,58,58,1.0,center,center
52,80,63,63,1.0,left,center
146,65,58,58,1.0,right,right
44,71,62,62,1.0,left,center
93,56,90,90,1.0,center,center
142,64,60,60,1.0,right,center
40,69,62,62,1.0,left,center
152,70,61,61,1.0,right,center
50,76,62,62,1.0,left,center
151,73,62,62,1.0,right,center
47,77,67,67,1.0,left,center
157,72,63,63,1.0,right,center
54,76,67,67,1.0,left,center
156,69,64,64,1.0,right,center
51,73,68,68,1.0,left,center
154,68,65,65,1.0,right,right
49,73,70,70,1.0,left,center
159,72,60,60,1.0,right,center
51,74,67,67,1.0,left,center
111,63,92,92,1.0,center,center
154,71,60,60,1.0,right,center
47,73,65,65,1.0,left,center
148,64,61,61,1.0,right,center
39,67,65,65,1.0,left,center
36,63,70,70,1.0,left,center
142,61,66,66,1.0,right,center
144,65,61,61,1.0,right,center
38,68,64,64,1.0,left,center
138,64,62,62,1.0,right,center
32,65,66,66,1.0,left,center
38,67,63,63,1.0,left,center
142,62,65,65,1.0,right,center
40,68,64,64,1.0,left,center
146,65,63,63,1.0,right,right
21,74,58,58,1.0,left,center
148,65,63,63,1.0,right,right
43,67,64,64,1.0,left,center
145,60,62,62,1.0,right,center
40,63,60,60,1.0,left,center
45,67,66,66,1.0,left,center
152,67,62,62,1.0,right,center
46,72,58,58,1.0,left,center
147,65,65,65,1.0,right,center
40,69,64,64,1.0,left,center
144,66,64,64,1.0,right,center
137,61,61,61,1.0,right,center
33,64,62,62,1.0,left,center
38,70,58,58,1.0,left,center
140,64,62,62,1.0,right,center
142,65,64,64,1.0,right,center
40,69,63,63,1.0,left,center
148,68,60,60,1.0,right,center
43,71,60,60,1.0,left,center
105,57,85,85,1.0,center,center
149,69,61,61,1.0,right,center
48,73,61,61,1.0,left,center
48,76,61,61,1.0,left,center
151,73,61,61,1.0,right,center
69,74,62,62,1.0,center,center
52,76,57,57,1.0,left,center
150,70,63,63,1.0,right,center
149,70,62,62,1.0,right,right
52,79,53,53,1.0,left,right
144,74,62,62,1.0,right,center
144,61,70,70,1.0,right,center
53,82,47,47,1.0,left,center
151,81,48,48,1.0,right,center
143,59,73,73,1.0,right,center
141,72,53,53,1.0,right,center
138,53,72,72,1.0,right,center
148,78,51,51,1.0,right,center
155,74,51,51,1.0,right,left
160,73,64,64,1.0,right,center
155,75,56,56,1.0,right,center
154,68,58,58,1.0,right,center
157,72,55,55,1.0,right,center
63,83,43,43,1.0,left,center
152,72,58,58,1.0,right,right
147,69,59,59,1.0,right,center
148,75,62,62,1.0,right,center
152,83,50,50,1.0,right,center
53,84,43,43,1.0,left,center
144,76,54,54,1.0,right,right
150,78,51,51,1.0,right,center
50,82,48,48,1.0,left,right
48,72,58,58,1.0,left,center
142,65,66,66,1.0,right,right
55,80,50,50,1.0,left,center
150,73,58,58,1.0,right,center
47,74,54,54,1.0,left,center
144,67,61,61,1.0,right,center
52,81,55,55,1.0,left,center
153,78,55,55,1.0,right,left
146,74,57,57,1.0,right,left
47,77,55,55,1.0,left,center
151,73,58,58,1.0,right,center
53,79,54,54,1.0,left,center
48,78,53,53,1.0,left,center
143,71,60,60,1.0,right,center
50,81,55,55,1.0,left,center
148,74,60,60,1.0,right,center
147,72,60,60,1.0,right,left
51,83,48,48,1.0,left,center
50,79,55,55,1.0,left,center
149,73,57,57,1.0,right,center
149,70,60,60,1.0,right,center
50,78,55,55,1.0,left,center
52,77,51,51,1.0,left,center
148,71,56,56,1.0,right,center
151,74,57,57,1.0,right,center
50,79,54,54,1.0,left,center
54,84,52,52,1.0,left,center
152,77,59,59,1.0,right,center
153,70,59,59,1.0,right,center
55,78,52,52,1.0,left,center
58,83,53,53,1.0,left,center
156,74,60,60,1.0,right,center
149,71,61,61,1.0,right,center
53,81,53,53,1.0,left,center
140,68,59,59,1.0,right,center
42,75,55,55,1.0,left,center
150,74,60,60,1.0,right,center
52,83,54,54,1.0,left,center
149,72,64,64,1.0,right,center
102,56,94,94,1.0,center,center
51,82,56,56,1.0,left,center
148,76,62,62,1.0,right,center
45,79,64,64,1.0,left,center
146,68,63,63,1.0,right,center
45,77,58,58,1.0,left,center
49,80,60,60,1.0,left,center
154,75,58,58,1.0,right,center
148,67,62,62,1.0,right,center
51,77,56,56,1.0,left,center
142,65,63,63,1.0,right,center
42,73,60,60,1.0,left,center
148,70,64,64,1.0,right,center
50,78,61,61,1.0,left,center
34,87,51,51,1.0,left,right
154,72,59,59,1.0,right,center
55,80,57,57,1.0,left,center
150,70,60,60,1.0,right,center
48,81,55,55,1.0,left,center
148,68,62,62,1.0,right,center
47,79,57,57,1.0,left,center
50,80,57,57,1.0,left,center
152,70,61,61,1.0,right,center
50,80,55,55,1.0,left,center
148,68,62,62,1.0,right,center
152,71,59,59,1.0,right,center
49,79,57,57,1.0,left,center
71,78,56,56,1.0,center,center
145,67,61,61,1.0,right,center
46,78,56,56,1.0,left,center
148,69,61,61,1.0,right,center
48,79,57,57,1.0,left,center
147,69,60,60,1.0,right,center
47,76,60,60,1.0,left,center
45,76,57,57,1.0,left,center
146,68,60,60,1.0,right,center
146,67,63,63,1.0,right,center
48,79,57,57,1.0,left,center
147,66,64,64,1.0,right,center
49,79,55,55,1.0,left,center
149,68,61,61,1.0,right,center
50,78,54,54,1.0,left,center
150,70,61,61,1.0,right,center
49,79,56,56,1.0,left,center
46,81,56,56,1.0,left,center
150,72,60,60,1.0,right,center
149,71,60,60,1.0,right,center
48,81,58,58,1.0,left,center
149,69,62,62,1.0,right,center
48,78,58,58,1.0,left,center
152,73,60,60,1.0,right,center
52,81,57,57,1.0,left,center
48,78,55,55,1.0,left,center
149,70,59,59,1.0,right,center
46,78,55,55,1.0,left,center
147,67,63,63,1.0,right,center
45,76,55,55,1.0,left,center
146,69,59,59,1.0,right,center
129,75,49,49,1.0,center,center
50,78,57,57,1.0,left,center
147,68,65,65,1.0,right,center
51,81,58,58,1.0,left,center
150,72,62,62,1.0,right,center
155,75,61,61,1.0,right,center
52,82,59,59,1.0,left,center
151,73,61,61,1.0,right,center
50,81,57,57,1.0,left,center
136,79,49,49,1.0,center,right
140,66,62,62,1.0,right,center
39,76,57,57,1.0,left,center
155,77,59,59,1.0,right,center
56,87,54,54,1.0,left,center
147,70,64,64,1.0,right,center
50,81,57,57,1.0,left,center
154,74,59,59,1.0,right,center
56,83,54,54,1.0,left,center
134,72,62,62,1.0,center,left
149,73,60,60,1.0,right,center
51,83,56,56,1.0,left,center
147,70,59,59,1.0,right,center
50,79,54,54,1.0,left,center
50,81,56,56,1.0,left,center
150,73,59,59,1.0,right,center
148,73,59,59,1.0,right,center
47,79,58,58,1.0,left,center
152,72,60,60,1.0,right,center
52,79,58,58,1.0,left,center
147,72,61,61,1.0,right,center
50,82,55,55,1.0,left,center
147,73,61,61,1.0,right,center
50,82,55,55,1.0,left,center
147,70,61,61,1.0,right,center
50,78,57,57,1.0,left,center
152,74,60,60,1.0,right,center
55,85,53,53,1.0,left,center
148,71,63,63,1.0,right,center
50,79,58,58,1.0,left,center
154,74,60,60,1.0,right,center
54,81,57,57,1.0,left,center
155,76,59,59,1.0,right,center
54,82,57,57,1.0,left,center
150,71,62,62,1.0,right,center
52,80,56,56,1.0,left,center
140,52,84,84,1.0,right,center
49,56,88,88,1.0,left,center
154,78,58,58,1.0,right,left
52,79,55,55,1.0,left,right
142,67,68,68,1.0,right,center
48,77,55,55,1.0,left,center
145,68,63,63,1.0,right,center
151,76,61,61,1.0,right,center
50,80,61,61,1.0,left,center
51,80,57,57,1.0,left,center
151,74,59,59,1.0,right,center
152,75,60,60,1.0,right,center
49,80,58,58,1.0,left,center
33,85,53,53,1.0,left,right
150,74,62,62,1.0,right,left
49,79,60,60,1.0,left,center
148,71,61,61,1.0,right,center
47,78,56,56,1.0,left,center
54,82,54,54,1.0,left,center
154,74,59,59,1.0,right,center
155,75,63,63,1.0,right,center
55,84,55,55,1.0,left,center
151,72,57,57,1.0,right,center
49,76,58,58,1.0,left,center
51,78,58,58,1.0,left,center
153,71,64,64,1.0,right,center
50,79,58,58,1.0,left,center
151,72,63,63,1.0,right,left
156,76,60,60,1.0,right,center
52,81,59,59,1.0,left,center
48,78,57,57,1.0,left,center
150,72,60,60,1.0,right,left
150,72,60,60,1.0,right,left
49,79,57,57,1.0,left,center
151,71,61,61,1.0,right,center
50,78,55,55,1.0,left,center
148,70,59,59,1.0,right,center
44,75,60,60,1.0,left,center
68,73,55,55,1.0,center,left
